main_product_category,Warehouse Country,Mean_Expected_Time,Mean_Actual_Time,Mean_Difference
Accessories,Puerto Rico,3.0074626865671643,17.880597014925375,14.87313432835821
Accessories,USA,3.03781512605042,19.567226890756302,16.529411764705884
Apparel,Puerto Rico,3.060063897763578,1.8440894568690096,-1.2159744408945685
Apparel,USA,3.096312714084223,4.168245013096917,1.071932299012694
Bags,Puerto Rico,1.25,-93.25,-94.5
Bags,USA,3.111111111111111,3.5555555555555554,0.4444444444444442
Electronics,Puerto Rico,3.076923076923077,3.29010989010989,0.21318681318681287
Electronics,USA,3.074666666666667,4.573333333333333,1.4986666666666664
Fun,Puerto Rico,3.121933621933622,10.76118326118326,7.639249639249639
Fun,USA,3.0673033196907684,2.261482492041837,-0.8058208276489314
Housewares,Puerto Rico,2.8823529411764706,13.96078431372549,11.07843137254902
Housewares,USA,3.087912087912088,-50.494505494505496,-53.582417582417584
Lifestyle,Puerto Rico,3.05661786674634,4.132954884971617,1.0763370182252765
Lifestyle,USA,3.072075436467183,2.680888805900476,-0.3911866305667071
Office,Puerto Rico,3.25,3.7,0.4500000000000002
Office,USA,3.0555555555555554,-17.61111111111111,-20.666666666666664
